2,2,16,176,1965000,1477,1330,2005,'New York'
1,2,73,187,365000,521,700,1925,'New York'
2.5,3,5,405,929000,668,1391,2015,'San Francisco'
1,1,74,338,650000,1083,600,1955,'San Francisco'
2,4,131,443,1798000,877,2050,1951,'San Francisco'
1,1,7,288,795000,803,990,2000,'San Francisco'
3.5,5,176,423,1698000,613,2769,1966,'San Francisco'
1,2,106,488,695000,665,1045,1923,'San Francisco'
1,0,8,190,835000,1667,501,2013,'New York'
1,2,84,392,875000,756,1158,1908,'San Francisco'
1,1,10,61,649000,865,750,1965,'New York'
1,1,91,371,599000,960,624,1900,'San Francisco'
1,1,16,90,869000,1297,670,1988,'New York'
2,1,23,152,1850000,2205,839,2007,'New York'
2,2,11,242,1700000,1360,1250,1987,'San Francisco'
1,2,61,318,599000,847,707,1942,'San Francisco'
7,8,9,169,2300000,550,4180,1910,'New York'
2,2,139,444,849000,546,1555,1978,'San Francisco'
1,1,5,12,999000,1274,784,1982,'New York'
1,1,74,337,650000,1083,600,1955,'San Francisco'
2,2,89,349,1680000,908,1850,1962,'San Francisco'
2,3,57,373,1395000,743,1877,1909,'San Francisco'
1,1,10,192,1420000,1849,768,2004,'New York'
1,2,36,389,799000,695,1150,1938,'San Francisco'
1,1,41,278,740200,748,989,1920,'San Francisco'
1,1,10,231,798000,1038,769,1926,'San Francisco'
1,1,4,480,788000,873,903,2004,'San Francisco'
1,1,12,122,835000,1193,700,1963,'New York'
1.3,2,14,292,1097000,735,1493,1904,'San Francisco'
2,3,102,325,535000,293,1824,1967,'San Francisco'
1,1,7,40,1595000,2234,714,2015,'New York'
3.5,5,59,336,3995000,1193,3350,1905,'San Francisco'
2.5,3,163,446,995000,508,1959,1976,'San Francisco'
1,1,10,191,935000,848,1102,1910,'New York'
2,2,6,264,950000,755,1258,2000,'San Francisco'
2,2,0,246,1298000,1120,1159,2008,'San Francisco'
2,2,13,87,2750000,1987,1384,2007,'New York'
2,2,23,100,3500000,2392,1463,1986,'New York'
2.5,3,143,464,1294000,607,2133,2015,'San Francisco'
2,2,54,314,875000,515,1700,1909,'San Francisco'
3,5,97,393,950000,515,1846,1939,'San Francisco'
2,3,52,356,899000,540,1665,1948,'San Francisco'
2.5,3,23,252,1995000,847,2354,2008,'San Francisco'
1,1,19,409,499000,464,1076,1900,'San Francisco'
5,5,108,360,2990000,598,5000,2014,'San Francisco'
2,3,66,435,1799000,999,1800,1926,'San Francisco'
2,3,185,449,1080000,709,1524,1989,'San Francisco'
1,2,24,452,915000,731,1251,1954,'San Francisco'
1,0,9,60,699999,1400,500,1988,'New York'
2.5,3,160,362,1388000,729,1905,1928,'San Francisco'
1,1,10,113,1319000,1319,1000,1958,'New York'
1,1,17,91,1760000,1853,950,1969,'New York'
1,3,35,414,660000,434,1520,1900,'San Francisco'
2,3,26,226,1750000,593,2950,1900,'San Francisco'
2.5,2,48,400,2495000,1379,1809,1940,'San Francisco'
2.5,3,139,330,879000,416,2111,1981,'San Francisco'
2.3,4,13,291,1398000,561,2492,1904,'San Francisco'
3,3,90,473,758000,351,2157,1989,'San Francisco'
1,3,68,345,1095000,747,1465,1895,'San Francisco'
2,3,33,333,1195000,856,1396,1907,'San Francisco'
1,2,63,457,795000,633,1256,1941,'San Francisco'
1,1,91,370,599000,960,624,1900,'San Francisco'
2,3,77,286,1295000,773,1675,1926,'San Francisco'
2,3,23,142,7350000,3542,2075,1999,'New York'
1.5,1,3,228,899000,619,1453,1997,'San Francisco'
2,3,34,454,725000,492,1474,1975,'San Francisco'
1,1,10,209,515000,710,725,1962,'New York'
1,1,19,94,1135000,1587,715,2005,'New York'
1,1,3,13,1249000,1512,826,1987,'New York'
4,4,10,234,4300000,1295,3321,2006,'San Francisco'
3,6,52,313,1600000,623,2567,1926,'San Francisco'
1,1,29,227,799000,943,847,2008,'San Francisco'
2,2,10,183,904000,601,1503,1920,'New York'
4,6,79,357,1198000,610,1965,1937,'San Francisco'
1,1,14,239,649000,963,674,2011,'San Francisco'
1,2,108,327,699000,777,900,1913,'San Francisco'
2,2,11,34,4895000,3220,1520,2016,'New York'
1,2,10,0,999000,999,1000,1960,'New York'
2,2,24,216,2900000,1813,1600,1987,'New York'
1,1,11,195,1550000,1952,794,2004,'New York'
2.5,2,5,262,850000,748,1136,2000,'San Francisco'
3,3,79,471,888000,571,1555,1975,'San Francisco'
3,3,15,132,5750000,2618,2196,2016,'New York'
1.5,1,13,237,849000,753,1127,1996,'San Francisco'
1,1,10,233,1495000,657,2275,1927,'San Francisco'
5,4,22,151,12000000,3243,3700,1939,'New York'
2,2,15,126,8690000,3990,2178,2002,'New York'
2,3,216,491,995000,762,1305,1956,'San Francisco'
2,2,35,466,1495000,1273,1174,1913,'San Francisco'
1,2,14,388,699000,583,1200,1907,'San Francisco'
1,1,10,7,975000,1083,900,1930,'New York'
5,5,15,137,19000000,3821,4972,2016,'New York'
2,2,9,41,3995000,1665,2400,1906,'New York'
1,1,74,339,775000,1292,600,1955,'San Francisco'
2.5,3,5,263,2850000,1373,2075,2013,'San Francisco'
1,1,70,346,725000,894,811,1900,'San Francisco'
1,1,6,54,1250000,1736,720,2007,'New York'
1,2,13,408,480000,706,680,1915,'San Francisco'
2,2,10,173,4625000,2729,1695,1987,'New York'
2,2,3,256,895000,804,1113,2006,'San Francisco'
2.5,3,23,253,1995000,847,2354,2008,'San Francisco'
2,2,10,28,1185000,1185,1000,1900,'New York'
1,2,98,437,1495000,879,1700,1908,'San Francisco'
2,3,227,363,989000,617,1603,1940,'San Francisco'
2,2,46,344,989000,1001,988,1984,'San Francisco'
2,2,5,15,2059500,1500,1373,2008,'New York'
1.5,2,56,317,749000,556,1348,1949,'San Francisco'
2,3,10,46,3580000,1193,3000,1880,'New York'
1,0,11,121,539000,1111,485,1957,'New York'
2,2,7,265,1600000,1364,1173,2002,'San Francisco'
3,3,8,213,1850000,1367,1353,2005,'New York'
2,2,16,89,1725000,1508,1144,2005,'New York'
1,1,16,106,695000,965,720,1961,'New York'
2.5,3,35,351,799000,571,1400,1947,'San Francisco'
3,4,119,361,1338800,575,2330,1940,'San Francisco'
1,1,10,21,3105000,2802,1108,2016,'New York'
2,2,9,2,1350000,628,2150,1900,'New York'
3.5,3,75,302,1799000,735,2449,1900,'San Francisco'
2,2,68,283,1199000,1090,1100,1964,'San Francisco'
2,1,5,24,1699000,1133,1500,1900,'New York'
2,2,54,280,958000,1047,915,2005,'San Francisco'
1,2,12,9,1895000,1895,1000,1921,'New York'
1,1,69,284,529000,669,791,1966,'San Francisco'
2,2,5,261,1299000,894,1453,2004,'San Francisco'
1,0,15,211,307000,930,330,1910,'New York'
3,3,10,117,14950000,3371,4435,1931,'New York'
6.5,6,3,396,9500000,1753,5420,1937,'San Francisco'
2,2,10,44,3995000,1665,2400,1906,'New York'
1,0,18,72,469000,938,500,1932,'New York'
2,3,41,268,1399000,773,1809,1892,'San Francisco'
2,3,52,355,899000,540,1665,1948,'San Francisco'
2,2,10,194,1635000,1708,957,2004,'New York'
1,2,64,470,699000,666,1050,1949,'San Francisco'
2,2,10,199,2175000,1386,1569,1999,'New York'
4,4,21,150,5500000,1719,3200,1923,'New York'
3,3,62,282,1575000,705,2233,1993,'San Francisco'
2,2,7,249,1650000,1006,1640,1937,'San Francisco'
1,3,66,319,648800,490,1325,1940,'San Francisco'
2,3,48,310,699000,559,1250,1964,'San Francisco'
1,1,11,68,615000,820,750,1960,'New York'
3,4,0,223,3895000,1711,2277,2001,'New York'
1,1,10,6,475000,950,500,1920,'New York'
1,1,10,27,1195000,1093,1093,1900,'New York'
4,4,87,287,1800000,767,2347,1948,'San Francisco'
3,3,1,222,2695000,1354,1991,2006,'New York'
3,2,12,80,2999000,937,3200,1925,'New York'
1,1,10,26,450000,900,500,1920,'New York'
3,3,38,298,1488888,709,2100,1977,'San Francisco'
2,2,36,154,1350000,1038,1300,1931,'New York'
2,3,83,303,1250000,862,1450,1924,'San Francisco'
1,2,108,326,699000,777,900,1913,'San Francisco'
2,4,11,469,699000,451,1550,1949,'San Francisco'
2,2,10,172,1599000,1142,1400,1973,'New York'
2.5,4,62,390,995000,456,2180,1915,'San Francisco'
3.5,3,127,421,2250000,691,3258,1928, 'San Francisco'
3,3,10,116,4875000,2417,2017,2016,'New York'
1,0,6,58,775000,1419,546,2009,'New York'
1,1,80,459,439000,658,667,2002,'San Francisco'
1,1,70,386,739900,846,875,1941,'San Francisco'
